Ind,Exercise,Difficulty_Level,Target_Muscle_Group,Prime_Mover_Muscle,Primary_Equipment ,Secondary_Items,Posture,Single_or_Double_Arm,Continuous_or_Alternating_Arms,Grip,Load_Position_Ending,Continuous_or_Alternating_Legs ,Foot_Elevation,Combination_Exercises,Body_Region,Force_Type,Laterality,Primary_Exercise_Classification
419,Single Arm Kettlebell Cyclist Thruster,Novice,Quadriceps,Quadriceps Femoris,Kettlebell,1,Standing,Single Arm,Continuous,Pronated,Overhead,Continuous,Heels Elevated,Single Exercise,Full Body,Push,Unilateral,Bodybuilding
420,Double Kettlebell Cyclist Thruster,Novice,Quadriceps,Quadriceps Femoris,Kettlebell,1,Standing,Double Arm,Continuous,Pronated,Overhead,Continuous,Heels Elevated,Single Exercise,Full Body,Push,Bilateral,Bodybuilding
421,Alternating Double Kettlebell Cyclist Thruster,Novice,Quadriceps,Quadriceps Femoris,Kettlebell,1,Standing,Double Arm,Alternating,Pronated,Overhead,Continuous,Heels Elevated,Single Exercise,Full Body,Push,Unilateral,Bodybuilding
422,Single Arm Kettlebell Bottoms Up Cyclist Thruster,Intermediate,Quadriceps,Quadriceps Femoris,Kettlebell,1,Standing,Single Arm,Continuous,Bottoms Up,Overhead,Continuous,Heels Elevated,Single Exercise,Full Body,Push,Unilateral,Bodybuilding
423,Double Kettlebell Bottoms Up Cyclist Thruster,Intermediate,Quadriceps,Quadriceps Femoris,Kettlebell,1,Standing,Double Arm,Continuous,Bottoms Up,Overhead,Continuous,Heels Elevated,Single Exercise,Full Body,Push,Bilateral,Bodybuilding
424,Alternating Double Kettlebell Bottoms Up Cyclist Thruster,Intermediate,Quadriceps,Quadriceps Femoris,Kettlebell,1,Standing,Double Arm,Alternating,Bottoms Up,Overhead,Continuous,Heels Elevated,Single Exercise,Full Body,Push,Unilateral,Bodybuilding
425,Barbell Kneeling Rollout,Intermediate,Abdominals,Rectus Abdominis,Barbell,0,Kneeling,Double Arm,Continuous,Pronated,Other,Continuous,No Elevation,Single Exercise,Midsection,Other,Bilateral,Unsorted*
426,Barbell Reverse Grip Overhead Press,Novice,Shoulders,Anterior Deltoids,Barbell,0,Standing,Double Arm,Continuous,Supinated,Overhead,Continuous,No Elevation,Single Exercise,Upper Body,Push,Bilateral,Bodybuilding
427,Barbell Seated Reverse Grip Overhead Press,Novice,Shoulders,Anterior Deltoids,Barbell,1,Seated,Double Arm,Continuous,Supinated,Overhead,Continuous,No Elevation,Single Exercise,Upper Body,Push,Bilateral,Bodybuilding
428,Cable Tall Kneeling Pallof Press,Novice,Abdominals,Obliques,Cable,0,Tall Kneeling,Double Arm,Continuous,Neutral,Other,Continuous,No Elevation,Single Exercise,Midsection,Other,Bilateral,Unsorted*
